vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,贵州茅台2016年1月至今每月末市盈率PE-TTM,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|贵州茅台|600519.SH|2026-07-17|15663.52|15663.52|19.03|18.94|5.78|6.69|25.46|19.67|9.28|9.1|4.13|4.15|243.31|15831.23|15343.36|13.2|
|贵州茅台|600519.SH|2026-07-16|15738.4|15738.4|19.12|19.03|5.81|6.73|25.58|19.77|9.32|9.14|4.11|4.13|244.47|15906.11|15418.24|13.27|
|贵州茅台|600519.SH|2026-07-15|15639.27|15639.27|19|18.91|5.77|6.68|25.42|19.64|9.26|9.08|4.14|4.16|242.93|15806.98|15319.11|13.18|
|贵州茅台|600519.SH|2026-07-14|15186.99|15186.99|18.45|18.36|5.61|6.49|24.69|19.07|8.99|8.82|4.26|4.28|235.9|15354.7|14866.83|12.79|
|贵州茅台|600519.SH|2026-07-13|15138.36|15138.36|18.39|18.3|5.59|6.47|24.61|19.01|8.97|8.79|4.27|4.3|235.15|15306.07|14818.2|12.75|
|贵州茅台|600519.SH|2026-07-10|15063.23|15063.23|18.3|18.21|5.56|6.44|24.48|18.92|8.92|8.75|4.29|4.32|233.98|15230.94|14743.07|12.69|
|贵州茅台|600519.SH|2026-07-09|14778.34|14778.34|17.95|17.87|5.46|6.32|24.02|18.56|8.75|8.58|4.38|4.4|229.56|14946.05|14458.18|12.44|
|贵州茅台|600519.SH|2026-07-08|14992.23|14992.23|18.21|18.13|5.53|6.41|24.37|18.83|8.88|8.71|4.31|4.34|232.88|15159.93|14672.07|12.63|
|贵州茅台|600519.SH|2026-07-07|14860.97|14860.97|18.05|17.97|5.49|6.35|24.16|18.66|8.8|8.63|4.35|4.38|230.84|15028.68|14540.81|12.51|
|贵州茅台|600519.SH|2026-07-06|15087.36|15087.36|18.33|18.24|5.57|6.45|24.52|18.95|8.94|8.76|4.29|4.31|234.36|15255.07|14767.2|12.71|
|贵州茅台|600519.SH|2026-07-03|14931.6|14931.6|18.14|18.05|5.51|6.38|24.27|18.75|8.84|8.67|4.33|4.36|231.94|15099.31|14611.44|12.57|
|贵州茅台|600519.SH|2026-07-02|15038.48|15038.48|18.27|18.18|5.55|6.43|24.44|18.89|8.91|8.74|4.3|4.32|233.6|15206.19|14718.32|12.67|
|贵州茅台|600519.SH|2026-07-01|14913.6|14913.6|18.12|18.03|5.51|6.37|24.24|18.73|8.83|8.66|4.34|4.36|231.66|15081.3|14593.44|12.56|
|贵州茅台|600519.SH|2026-06-30|14819.59|14819.59|18|17.92|5.47|6.33|24.09|18.61|8.78|8.61|4.36|4.39|230.2|14987.3|14499.43|12.48|
|贵州茅台|600519.SH|2026-06-29|14937.98|14937.98|18.15|18.06|5.51|6.38|24.28|18.76|8.85|8.68|4.33|4.35|232.04|15105.68|14617.81|12.58|
|贵州茅台|600519.SH|2026-06-26|14608.83|14608.83|17.75|17.66|5.39|6.24|23.75|18.35|8.65|8.49|4.43|4.45|226.92|14776.53|14288.67|12.3|
|贵州茅台|600519.SH|2026-06-25|15152.24|15152.24|18.41|18.32|5.59|5.63|24.63|19.03|8.97|8.8|4.27|4.27|235.36|15319.94|14832.08|12.76|
|贵州茅台|600519.SH|2026-06-24|15096.99|15096.99|18.34|18.25|5.57|5.61|24.54|18.96|8.94|8.77|4.28|4.28|234.51|15264.69|14776.82|12.72|
|贵州茅台|600519.SH|2026-06-23|15281.62|15281.62|18.56|18.48|5.64|5.68|24.84|19.19|9.05|8.88|4.23|4.23|237.37|15449.33|14961.46|12.88|
|贵州茅台|600519.SH|2026-06-22|15518.64|15518.64|18.85|18.76|5.73|5.77|25.22|19.49|9.19|9.01|4.17|4.17|241.06|15686.34|15198.48|13.08|
|贵州茅台|600519.SH|2026-06-18|15188.49|15188.49|18.45|18.36|5.61|5.65|24.69|19.08|9|8.82|4.26|4.26|235.93|15356.2|14868.33|12.8|
|贵州茅台|600519.SH|2026-06-17|15501.01|15501.01|18.83|18.74|5.72|5.76|25.2|19.47|9.18|9|4.17|4.17|240.78|15668.72|15180.85|13.06|
|贵州茅台|600519.SH|2026-06-16|15696.9|15696.9|19.07|18.98|5.79|5.84|25.51|19.71|9.3|9.12|4.12|4.12|243.82|15864.61|15376.74|13.23|
|贵州茅台|600519.SH|2026-06-15|15889.79|15889.79|19.3|19.21|5.87|5.91|25.83|19.96|9.41|9.23|4.07|4.07|246.82|16057.49|15569.63|13.4|
|贵州茅台|600519.SH|2026-06-12|16149.93|16149.93|19.62|19.52|5.96|6|26.25|20.28|9.57|9.38|4|4|250.86|16317.63|15829.77|13.62|
|贵州茅台|600519.SH|2026-06-11|15988.54|15988.54|19.42|19.33|5.9|5.94|25.99|20.08|9.47|9.29|4.04|4.04|248.36|16156.25|15668.38|13.48|
|贵州茅台|600519.SH|2026-06-10|15949.54|15949.54|19.38|19.28|5.89|5.93|25.92|20.03|9.45|9.27|4.05|4.05|247.75|16117.25|15629.38|13.45|
|贵州茅台|600519.SH|2026-06-09|15701.02|15701.02|19.07|18.98|5.8|5.84|25.52|19.72|9.3|9.12|4.12|4.12|243.89|15868.73|15380.86|13.24|
|贵州茅台|600519.SH|2026-06-08|15788.28|15788.28|19.18|19.09|5.83|5.87|25.66|19.83|9.35|9.17|4.1|4.1|245.24|15955.99|15468.12|13.31|
|贵州茅台|600519.SH|2026-06-05|15911.79|15911.79|19.33|19.24|5.87|5.92|25.86|19.98|9.42|9.24|4.06|4.06|247.16|16079.49|15591.63|13.42|
|贵州茅台|600519.SH|2026-06-04|15851.03|15851.03|19.26|19.16|5.85|5.89|25.76|19.91|9.39|9.21|4.08|4.08|246.22|16018.74|15530.87|13.37|
|贵州茅台|600519.SH|2026-06-03|16024.92|16024.92|19.47|19.37|5.92|5.96|26.05|20.13|9.49|9.31|4.04|4.04|248.92|16192.63|15704.76|13.52|
|贵州茅台|600519.SH|2026-06-02|16341.32|16341.32|19.85|19.76|6.03|6.07|26.56|20.52|9.68|9.49|3.96|3.96|253.84|16509.02|16021.16|13.79|
|贵州茅台|600519.SH|2026-06-01|16371.07|16371.07|19.89|19.79|6.04|6.09|26.61|20.56|9.7|9.51|3.95|3.95|254.3|16538.77|16050.91|13.81|
|贵州茅台|600519.SH|2026-05-29|16576.08|16576.08|20.14|20.04|6.12|6.16|26.94|20.82|9.82|9.63|3.9|3.9|257.48|16743.79|16255.92|13.99|
|贵州茅台|600519.SH|2026-05-28|15950.79|15950.79|19.38|19.28|5.89|5.93|25.93|20.03|9.45|9.27|4.05|4.05|247.77|16118.5|15630.63|13.45|
|贵州茅台|600519.SH|2026-05-27|16317.08|16317.08|19.82|19.73|6.02|6.03|26.52|20.49|9.66|9.48|3.96|3.96|253.46|16484.79|15996.92|13.77|
|贵州茅台|600519.SH|2026-05-26|15946.16|15946.16|19.37|19.28|5.89|5.9|25.92|20.03|9.44|9.26|4.06|4.06|247.7|16113.86|15626|13.45|
|贵州茅台|600519.SH|2026-05-25|16102.69|16102.69|19.56|19.47|5.94|5.95|26.17|20.22|9.54|9.35|4.02|4.02|250.13|16270.4|15782.53|13.58|
|贵州茅台|600519.SH|2026-05-22|16156.79|16156.79|19.63|19.53|5.96|5.97|26.26|20.29|9.57|9.39|4|4|250.97|16324.5|15836.63|13.63|
|贵州茅台|600519.SH|2026-05-21|16417.26|16417.26|19.94|19.85|6.06|6.07|26.69|20.62|9.72|9.54|3.94|3.94|255.01|16584.97|16097.1|13.85|
|贵州茅台|600519.SH|2026-05-20|16467.35|16467.35|20|19.91|6.08|6.09|26.77|20.68|9.75|9.57|3.93|3.93|255.79|16635.06|16147.19|13.9|
|贵州茅台|600519.SH|2026-05-19|16583.81|16583.81|20.15|20.05|6.12|6.13|26.96|20.83|9.82|9.63|3.9|3.9|257.6|16751.52|16263.65|14|
|贵州茅台|600519.SH|2026-05-18|16567.53|16567.53|20.13|20.03|6.12|6.13|26.93|20.81|9.81|9.62|3.9|3.9|257.35|16735.24|16247.37|13.98|
|贵州茅台|600519.SH|2026-05-15|16692.14|16692.14|20.28|20.18|6.16|6.17|27.13|20.96|9.89|9.7|3.87|3.87|259.28|16859.84|16371.97|14.09|
|贵州茅台|600519.SH|2026-05-14|16807.6|16807.6|20.42|20.32|6.2|6.21|27.32|21.11|9.95|9.76|3.85|3.85|261.08|16975.3|16487.43|14.19|
|贵州茅台|600519.SH|2026-05-13|16831.64|16831.64|20.45|20.35|6.21|6.22|27.36|21.14|9.97|9.78|3.84|3.84|261.45|16999.34|16511.48|14.21|
|贵州茅台|600519.SH|2026-05-12|16962.63|16962.63|20.61|20.51|6.26|6.27|27.57|21.3|10.05|9.85|3.81|3.81|263.49|17130.33|16642.47|14.32|
|贵州茅台|600519.SH|2026-05-11|17047.53|17047.53|20.71|20.61|6.29|6.3|27.71|21.41|10.1|9.9|3.79|3.79|264.8|17215.24|16727.37|14.4|
|贵州茅台|600519.SH|2026-05-08|17193.54|17193.54|20.89|20.79|6.35|6.36|27.95|21.59|10.18|9.99|3.76|3.76|267.07|17361.25|16873.38|14.52|
|贵州茅台|600519.SH|2026-05-07|17169.25|17169.25|20.86|20.76|6.34|6.34|27.91|21.56|10.17|9.97|3.77|3.77|266.7|17336.96|16849.09|14.5|
|贵州茅台|600519.SH|2026-05-06|17218.72|17218.72|20.92|20.82|6.36|6.36|27.99|21.63|10.2|10|3.76|3.76|267.46|17386.42|16898.55|14.54|
|贵州茅台|600519.SH|2026-04-30|17341.31|17341.31|21.07|20.97|6.4|6.4|28.19|21.78|10.27|10.07|3.73|3.73|269.37|17509.02|17021.15|14.65|
|贵州茅台|600519.SH|2026-04-29|17546.43|17546.43|21.31|21.21|6.48|6.48|28.52|22.04|10.39|10.19|3.69|3.69|272.55|17714.14|17226.27|14.82|
|贵州茅台|600519.SH|2026-04-28|17594.4|17594.4|21.37|21.27|6.49|6.49|28.6|22.1|10.42|10.22|3.68|3.68|273.3|17762.1|17274.24|14.87|
|贵州茅台|600519.SH|2026-04-27|17571.86|17571.86|21.35|21.24|6.49|6.49|28.56|22.07|10.41|10.21|3.68|3.68|272.95|17739.56|17251.69|14.85|
|贵州茅台|600519.SH|2026-04-24|18264.24|18264.24|22.19|22.19|7.47|7.47|29.69|29.69|10.82|10.82|3.54|3.54|231.01|18445.06|17928.16|15.43|
|贵州茅台|600519.SH|2026-04-23|17769.71|17769.71|21.59|21.59|7.26|7.26|28.88|28.88|10.52|10.52|3.64|3.64|224.75|17950.54|17433.63|15|
|贵州茅台|600519.SH|2026-04-22|17650.75|17650.75|21.44|21.44|7.22|7.22|28.69|28.69|10.45|10.45|3.66|3.66|223.25|17831.57|17314.67|14.9|
|贵州茅台|600519.SH|2026-04-21|17682.18|17682.18|21.48|21.48|7.23|7.23|28.74|28.74|10.47|10.47|3.66|3.66|223.65|17863.01|17346.1|14.93|
|贵州茅台|600519.SH|2026-04-20|17668.16|17668.16|21.46|21.46|7.22|7.22|28.72|28.72|10.46|10.46|3.66|3.66|223.47|17848.98|17332.08|14.92|
|贵州茅台|600519.SH|2026-04-17|17622.45|17622.45|21.41|21.41|7.2|7.2|28.64|28.64|10.44|10.44|3.67|3.67|222.89|17803.27|17286.37|14.88|
|贵州茅台|600519.SH|2026-04-16|18318.71|18318.71|21.24|20.35|7.13|8.11|19.81|21.24|10.72|10.26|3.53|3.53|136.91|18464.02|17946.49|14.92|
|贵州茅台|600519.SH|2026-04-15|18377.07|18377.07|21.31|20.41|7.15|8.13|19.87|21.31|10.75|10.29|3.52|3.52|137.35|18522.37|18004.84|14.97|
|贵州茅台|600519.SH|2026-04-14|18119.1|18119.1|21.01|20.13|7.05|8.02|19.6|21.01|10.6|10.15|3.57|3.57|135.42|18264.41|17746.88|14.76|
|贵州茅台|600519.SH|2026-04-13|18074.14|18074.14|20.96|20.08|7.03|8|19.55|20.96|10.58|10.12|3.58|3.58|135.08|18219.45|17701.92|14.72|
|贵州茅台|600519.SH|2026-04-10|18207.51|18207.51|21.12|20.22|7.08|8.06|19.69|21.11|10.65|10.2|3.55|3.55|136.08|18352.82|17835.29|14.83|
|贵州茅台|600519.SH|2026-04-09|18289.28|18289.28|21.21|20.32|7.11|8.09|19.78|21.21|10.7|10.24|3.54|3.54|136.69|18434.59|17917.06|14.9|
|贵州茅台|600519.SH|2026-04-08|18346.01|18346.01|21.28|20.38|7.14|8.12|19.84|21.27|10.73|10.27|3.53|3.53|137.11|18491.32|17973.79|14.95|
|贵州茅台|600519.SH|2026-04-07|18032.94|18032.94|20.91|20.03|7.01|7.98|19.5|20.91|10.55|10.1|3.59|3.59|134.77|18178.25|17660.72|14.69|
|贵州茅台|600519.SH|2026-04-03|18283.15|18283.15|21.2|20.31|7.11|8.09|19.77|21.2|10.7|10.24|3.54|3.54|136.64|18428.45|17910.92|14.89|
|贵州茅台|600519.SH|2026-04-02|18281.64|18281.64|21.2|20.31|7.11|8.08|19.77|21.2|10.7|10.24|3.54|3.54|136.63|18426.95|17909.42|14.89|
|贵州茅台|600519.SH|2026-04-01|18276.13|18276.13|21.2|20.3|7.11|8.08|19.77|21.19|10.69|10.23|3.54|3.54|136.59|18421.44|17903.91|14.89|
|贵州茅台|600519.SH|2026-03-31|18157.92|18157.92|21.06|20.17|7.06|8.02|19.64|21.06|10.62|10.17|3.56|3.56|135.71|18303.23|17785.7|14.79|
|贵州茅台|600519.SH|2026-03-30|17782.24|17782.24|20.62|19.75|6.92|7.86|19.23|20.62|10.41|9.96|3.64|3.64|132.9|17927.55|17410.02|14.48|
|贵州茅台|600519.SH|2026-03-27|17732.4|17732.4|20.56|19.7|6.9|7.84|19.18|20.56|10.38|9.93|3.65|3.65|132.53|17877.71|17360.18|14.44|
|贵州茅台|600519.SH|2026-03-26|17546.56|17546.56|20.35|19.49|6.83|7.75|18.98|20.35|10.27|9.83|3.69|3.69|131.14|17691.87|17174.34|14.28|
|贵州茅台|600519.SH|2026-03-25|17660.39|17660.39|20.48|19.62|6.87|7.81|19.1|20.48|10.33|9.89|3.66|3.66|131.99|17805.7|17288.17|14.38|
|贵州茅台|600519.SH|2026-03-24|17623.57|17623.57|20.44|19.58|6.86|7.79|19.06|20.44|10.31|9.87|3.67|3.67|131.71|17768.88|17251.35|14.34|
|贵州茅台|600519.SH|2026-03-23|17632.84|17632.84|20.45|19.59|6.86|7.79|19.07|20.45|10.32|9.87|3.67|3.67|131.78|17778.15|17260.62|14.35|
|贵州茅台|600519.SH|2026-03-20|18095.3|18095.3|20.99|20.1|7.04|8|19.57|20.98|10.59|10.13|3.57|3.57|135.24|18240.61|17723.08|14.74|
|贵州茅台|600519.SH|2026-03-19|18193.86|18193.86|21.1|20.21|7.08|8.04|19.68|21.1|10.65|10.19|3.55|3.55|135.98|18339.17|17821.64|14.82|
|贵州茅台|600519.SH|2026-03-18|18393.34|18393.34|21.33|20.43|7.16|8.13|19.89|21.33|10.76|10.3|3.52|3.52|137.47|18538.65|18021.12|14.98|
|贵州茅台|600519.SH|2026-03-17|18596.21|18596.21|21.57|20.66|7.23|8.22|20.11|21.56|10.88|10.41|3.48|3.48|138.98|18741.52|18223.99|15.15|
|贵州茅台|600519.SH|2026-03-16|18285.4|18285.4|21.21|20.31|7.11|8.08|19.78|21.2|10.7|10.24|3.54|3.54|136.66|18430.71|17913.18|14.9|
|贵州茅台|600519.SH|2026-03-13|17702.59|17702.59|20.53|19.66|6.89|7.82|19.15|20.53|10.36|9.91|3.65|3.65|132.3|17847.9|17330.37|14.41|
|贵州茅台|600519.SH|2026-03-12|17431.6|17431.6|20.22|19.36|6.78|7.7|18.85|20.21|10.2|9.76|3.71|3.71|130.28|17576.91|17059.38|14.19|
|贵州茅台|600519.SH|2026-03-11|17531.78|17531.78|20.33|19.47|6.82|7.75|18.96|20.33|10.26|9.82|3.69|3.69|131.03|17677.09|17159.56|14.27|
|贵州茅台|600519.SH|2026-03-10|17555.33|17555.33|20.36|19.5|6.83|7.76|18.99|20.36|10.27|9.83|3.68|3.68|131.2|17700.63|17183.1|14.29|
|贵州茅台|600519.SH|2026-03-09|17494.21|17494.21|20.29|19.43|6.81|7.73|18.92|20.29|10.24|9.8|3.7|3.7|130.75|17639.52|17121.99|14.24|
|贵州茅台|600519.SH|2026-03-06|17556.83|17556.83|20.36|19.5|6.83|7.76|18.99|20.36|10.27|9.83|3.68|3.68|131.22|17702.14|17184.61|14.29|
|贵州茅台|600519.SH|2026-03-05|17519.76|17519.76|20.32|19.46|6.82|7.74|18.95|20.32|10.25|9.81|3.69|3.69|130.94|17665.07|17147.54|14.26|
|贵州茅台|600519.SH|2026-03-04|17546.56|17546.56|20.35|19.49|6.83|7.75|18.98|20.35|10.27|9.83|3.69|3.69|131.14|17691.87|17174.34|14.28|
|贵州茅台|600519.SH|2026-03-03|17859.75|17859.75|20.71|19.84|6.95|7.89|19.32|20.71|10.45|10|3.62|3.62|133.48|18005.06|17487.53|14.54|
|贵州茅台|600519.SH|2026-03-02|18034.07|18034.07|20.91|20.03|7.02|7.96|19.5|20.91|10.55|10.1|3.59|3.59|134.78|18179.38|17661.85|14.69|
|贵州茅台|600519.SH|2026-02-27|18220.78|18220.78|21.13|20.24|7.09|8.04|19.71|21.13|10.66|10.2|3.55|3.55|136.18|18366.09|17848.56|14.84|
|贵州茅台|600519.SH|2026-02-26|18360.91|18360.91|21.29|20.39|7.14|8.11|19.86|21.29|10.74|10.28|3.52|3.52|137.22|18506.22|17988.69|14.96|
|贵州茅台|600519.SH|2026-02-25|18679.61|18679.61|21.66|20.75|7.27|8.25|20.2|21.66|10.93|10.46|3.46|3.46|139.61|18824.92|18307.39|15.22|
|贵州茅台|600519.SH|2026-02-24|18368.3|18368.3|21.3|20.4|7.15|8.11|19.87|21.3|10.75|10.29|3.52|3.52|137.28|18513.61|17996.08|14.96|
|贵州茅台|600519.SH|2026-02-13|18599.97|18599.97|21.57|20.66|7.24|8.21|20.12|21.57|10.88|10.42|3.48|3.48|139.01|18745.28|18227.75|15.16|
|贵州茅台|600519.SH|2026-02-12|18616.25|18616.25|21.59|20.68|7.24|8.22|20.13|21.59|10.89|10.42|3.47|3.47|139.13|18761.56|18244.03|15.17|
|贵州茅台|600519.SH|2026-02-11|18838.28|18838.28|21.85|20.93|7.33|8.32|20.37|21.84|11.02|10.55|3.43|3.43|140.79|18983.59|18466.05|15.36|
|贵州茅台|600519.SH|2026-02-10|18844.16|18844.16|21.85|20.93|7.33|8.32|20.38|21.85|11.03|10.55|3.43|3.43|140.84|18989.47|18471.94|15.36|
|贵州茅台|600519.SH|2026-02-09|19096.62|19096.62|22.15|21.21|7.43|8.43|20.65|22.14|11.17|10.69|3.39|3.39|142.72|19241.93|18724.4|15.57|
|贵州茅台|600519.SH|2026-02-06|18972.02|18972.02|22|21.07|7.38|8.38|20.52|22|11.1|10.62|3.41|3.41|141.79|19117.33|18599.8|15.47|
|贵州茅台|600519.SH|2026-02-05|19472.8|19472.8|22.58|21.63|7.57|8.6|21.06|22.58|11.39|10.9|3.32|3.32|145.53|19618.11|19100.58|15.88|
|贵州茅台|600519.SH|2026-02-04|19097.12|19097.12|22.15|21.21|7.43|8.43|20.65|22.14|11.17|10.69|3.39|3.39|142.73|19242.43|18724.9|15.57|
|贵州茅台|600519.SH|2026-02-03|18469.98|18469.98|21.42|20.52|7.18|8.14|19.98|21.42|10.81|10.34|3.5|3.5|138.04|18615.29|18097.76|15.05|
|贵州茅台|600519.SH|2026-02-02|17869.9|17869.9|20.72|19.85|6.95|7.87|19.33|20.72|10.46|10.01|3.62|3.62|133.55|18015.2|17497.67|14.55|
|贵州茅台|600519.SH|2026-01-30|17544.31|17544.31|20.35|19.49|6.82|7.73|18.97|20.34|10.27|9.82|3.69|3.69|131.12|17689.61|17172.08|14.28|
|贵州茅台|600519.SH|2026-01-29|18004.14|18004.14|20.88|20|7|7.93|19.47|20.88|10.53|10.08|3.59|3.59|134.56|18149.45|17631.92|14.66|
|贵州茅台|600519.SH|2026-01-28|16576.18|16576.18|19.22|18.41|6.45|7.3|17.93|19.22|9.7|9.28|3.9|3.9|123.89|16721.48|16203.95|13.47|
|贵州茅台|600519.SH|2026-01-27|16818.11|16818.11|19.5|18.68|6.54|7.41|18.19|19.5|9.84|9.42|3.85|3.85|125.69|16963.42|16445.89|13.68|
|贵州茅台|600519.SH|2026-01-26|16805.47|16805.47|19.49|18.67|6.54|7.4|18.18|19.49|9.83|9.41|3.85|3.85|125.6|16950.78|16433.24|13.66|
|贵州茅台|600519.SH|2026-01-23|16742.85|16742.85|19.42|18.6|6.51|7.38|18.11|19.41|9.8|9.38|3.86|3.86|125.13|16888.16|16370.63|13.61|
|贵州茅台|600519.SH|2026-01-22|16781.17|16781.17|19.46|18.64|6.53|7.39|18.15|19.46|9.82|9.4|3.85|3.85|125.42|16926.48|16408.95|13.64|
|贵州茅台|600519.SH|2026-01-21|16918.92|16918.92|19.62|18.79|6.58|7.45|18.3|19.62|9.9|9.47|3.82|3.82|126.45|17064.23|16546.7|13.76|
|贵州茅台|600519.SH|2026-01-20|17200.56|17200.56|19.95|19.11|6.69|7.58|18.6|19.95|10.06|9.63|3.76|3.76|128.55|17345.87|16828.34|13.99|
|贵州茅台|600519.SH|2026-01-19|17231.24|17231.24|19.98|19.14|6.7|7.59|18.64|19.98|10.08|9.65|3.75|3.75|128.78|17376.55|16859.02|14.02|
|贵州茅台|600519.SH|2026-01-16|17306.37|17306.37|20.07|19.22|6.73|7.63|18.72|20.07|10.13|9.69|3.74|3.74|129.34|17451.68|16934.15|14.08|
|贵州茅台|600519.SH|2026-01-15|17392.66|17392.66|20.17|19.32|6.77|7.66|18.81|20.17|10.18|9.74|3.72|3.72|129.99|17537.96|17020.43|14.15|
|贵州茅台|600519.SH|2026-01-14|17506.86|17506.86|20.3|19.45|6.81|7.71|18.93|20.3|10.24|9.8|3.69|3.69|130.84|17652.17|17134.64|14.25|
|贵州茅台|600519.SH|2026-01-13|17669.53|17669.53|20.49|19.63|6.87|7.79|19.11|20.49|10.34|9.89|3.66|3.66|132.06|17814.84|17297.31|14.38|
|贵州茅台|600519.SH|2026-01-12|17822.69|17822.69|20.67|19.8|6.93|7.85|19.28|20.67|10.43|9.98|3.63|3.63|133.2|17967.99|17450.46|14.51|
|贵州茅台|600519.SH|2026-01-09|17770.97|17770.97|20.61|19.74|6.91|7.83|19.22|20.61|10.4|9.95|3.64|3.64|132.82|17916.28|17398.74|14.47|
|贵州茅台|600519.SH|2026-01-08|17685.81|17685.81|20.51|19.64|6.88|7.79|19.13|20.51|10.35|9.9|3.66|3.66|132.18|17831.12|17313.59|14.4|
|贵州茅台|600519.SH|2026-01-07|17824.31|17824.31|20.67|19.8|6.93|7.85|19.28|20.67|10.43|9.98|3.63|3.63|133.21|17969.62|17452.09|14.51|
|贵州茅台|600519.SH|2026-01-06|17882.54|17882.54|20.74|19.86|6.96|7.88|19.34|20.74|10.46|10.01|3.62|3.62|133.65|18027.85|17510.32|14.56|
|贵州茅台|600519.SH|2026-01-05|17857.37|17857.37|20.71|19.84|6.95|7.87|19.31|20.71|10.45|10|3.62|3.62|133.46|18002.68|17485.15|14.54|
|贵州茅台|600519.SH|2025-12-31|17246.01|17246.01|20|19.16|6.71|7.59|18.65|20|10.09|9.66|3.99|3.75|128.89|17391.32|16873.79|14.03|
|贵州茅台|600519.SH|2025-12-30|17403.05|17403.05|20.18|19.33|6.77|7.66|18.82|20.18|10.18|9.75|3.95|3.72|130.07|17548.36|17030.83|14.16|
|贵州茅台|600519.SH|2025-12-29|17556.83|17556.83|20.36|19.5|6.83|7.73|18.99|20.36|10.27|9.83|3.92|3.68|131.22|17702.14|17184.61|14.29|
|贵州茅台|600519.SH|2025-12-26|17708.73|17708.73|20.54|19.67|6.89|7.8|19.15|20.53|10.36|9.92|3.88|3.65|132.35|17854.04|17336.51|14.42|
|贵州茅台|600519.SH|2025-12-25|17709.23|17709.23|20.54|19.67|6.89|7.8|19.15|20.54|10.36|9.92|3.88|3.65|132.35|17854.54|17337.01|14.42|
|贵州茅台|600519.SH|2025-12-24|17543.05|17543.05|20.34|19.49|6.82|7.73|18.97|20.34|10.27|9.82|3.92|3.69|131.11|17688.36|17170.83|14.28|
|贵州茅台|600519.SH|2025-12-23|17630.21|17630.21|20.45|19.58|6.86|7.76|19.07|20.44|10.32|9.87|3.9|3.67|131.76|17775.52|17257.99|14.35|
|贵州茅台|600519.SH|2025-12-22|17635.22|17635.22|20.45|19.59|6.86|7.77|19.07|20.45|10.32|9.88|3.9|3.67|131.8|17780.53|17263|14.35|
|贵州茅台|600519.SH|2025-12-19|17657.01|17657.01|20.48|19.61|6.87|7.78|19.1|20.47|10.33|9.89|3.9|3.66|131.96|17802.32|17284.79|14.37|
|贵州茅台|600519.SH|2025-12-18|17919.99|17919.99|20.78|19.91|6.97|6.97|19.38|20.78|10.49|10.03|3.84|3.61|133.93|18065.3|17547.77|14.59|
|贵州茅台|600519.SH|2025-12-17|17946.28|17946.28|20.81|19.93|6.98|6.98|19.41|20.81|10.5|10.05|3.83|3.6|134.13|18091.59|17574.06|14.61|
|贵州茅台|600519.SH|2025-12-16|17807.28|17807.28|20.65|19.78|6.93|6.93|19.26|20.65|10.42|9.97|3.86|3.63|133.09|17952.59|17435.06|14.5|
|贵州茅台|600519.SH|2025-12-15|17857.37|17857.37|20.71|19.84|6.95|6.95|19.31|20.71|10.45|10|3.85|3.62|133.46|18002.68|17485.15|14.54|
|贵州茅台|600519.SH|2025-12-12|17790.38|17790.38|20.63|19.76|6.92|6.92|19.24|20.63|10.41|9.96|3.87|3.64|132.96|17935.69|17418.16|14.48|
|贵州茅台|600519.SH|2025-12-11|17681.93|17681.93|20.51|19.64|6.88|6.88|19.12|20.5|10.35|9.9|3.89|3.66|132.15|17827.24|17309.71|14.39|
|贵州茅台|600519.SH|2025-12-10|17566.85|17566.85|20.37|19.51|6.83|6.83|19|20.37|10.28|9.84|3.92|3.68|131.29|17712.16|17194.62|14.3|
|贵州茅台|600519.SH|2025-12-09|17544.43|17544.43|20.35|19.49|6.82|6.82|18.97|20.34|10.27|9.82|3.92|3.69|131.12|17689.74|17172.21|14.28|
|贵州茅台|600519.SH|2025-12-08|17759.95|17759.95|20.6|19.73|6.91|6.91|19.21|20.59|10.39|9.95|3.87|3.64|132.73|17905.26|17387.72|14.46|
|贵州茅台|600519.SH|2025-12-05|17907.59|17907.59|20.77|19.89|6.97|6.97|19.37|20.77|10.48|10.03|3.84|3.61|133.84|18052.9|17535.37|14.58|
|贵州茅台|600519.SH|2025-12-04|17832.08|17832.08|20.68|19.81|6.94|6.94|19.29|20.68|10.43|9.99|3.86|3.63|133.27|17977.39|17459.86|14.52|
|贵州茅台|600519.SH|2025-12-03|17896.19|17896.19|20.75|19.88|6.96|6.96|19.35|20.75|10.47|10.02|3.84|3.61|133.75|18041.5|17523.97|14.57|
|贵州茅台|600519.SH|2025-12-02|17982.98|17982.98|20.86|19.98|7|7|19.45|20.85|10.52|10.07|3.83|3.6|134.4|18128.28|17610.75|14.64|
|贵州茅台|600519.SH|2025-12-01|18132.87|18132.87|21.03|20.14|7.05|7.05|19.61|21.03|10.61|10.15|3.79|3.57|135.52|18278.18|17760.65|14.77|
